"GEO_ID","NAME","B25008_001E","B25008_001M","B25008_002E","B25008_002M","B25008_003E","B25008_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US060371011101","Block Group 1, Census Tract 1011.10, Los Angeles County, California","1620","453","974","350","646","283",
"1500000US060371011102","Block Group 2, Census Tract 1011.10, Los Angeles County, California","1414","334","704","274","710","254",
"1500000US060371011103","Block Group 3, Census Tract 1011.10, Los Angeles County, California","757","256","582","252","175","105",
"1500000US060371011221","Block Group 1, Census Tract 1011.22, Los Angeles County, California","2604","847","1858","462","746","768",
"1500000US060371011222","Block Group 2, Census Tract 1011.22, Los Angeles County, California","1639","409","1272","336","367","260",
"1500000US060371012201","Block Group 1, Census Tract 1012.20, Los Angeles County, California","1283","326","702","292","581","204",
"1500000US060371012202","Block Group 2, Census Tract 1012.20, Los Angeles County, California","2300","429","984","266","1316","402",
"1500000US060371012211","Block Group 1, Census Tract 1012.21, Los Angeles County, California","930","351","328","208","602","337",
"1500000US060371012212","Block Group 2, Census Tract 1012.21, Los Angeles County, California","2726","710","323","260","2403","695",
"1500000US060371012221","Block Group 1, Census Tract 1012.22, Los Angeles County, California","2690","520","388","305","2302","617",
"1500000US060371013001","Block Group 1, Census Tract 1013, Los Angeles County, California","1054","324","858","274","196","180",
"1500000US060371013002","Block Group 2, Census Tract 1013, Los Angeles County, California","968","320","746","279","222","200",
"1500000US060371013003","Block Group 3, Census Tract 1013, Los Angeles County, California","1083","292","1051","293","32","38",
"1500000US060371013004","Block Group 4, Census Tract 1013, Los Angeles County, California","921","348","631","315","290","177",
"1500000US060371014001","Block Group 1, Census Tract 1014, Los Angeles County, California","839","377","551","347","288","171",
"1500000US060371014002","Block Group 2, Census Tract 1014, Los Angeles County, California","1234","398","1075","371","159","138",
"1500000US060371014003","Block Group 3, Census Tract 1014, Los Angeles County, California","1273","273","1069","275","204","129",
"1500000US060371021031","Block Group 1, Census Tract 1021.03, Los Angeles County, California","1767","488","1071","286","696","459",
"1500000US060371021041","Block Group 1, Census Tract 1021.04, Los Angeles County, California","2994","514","2443","533","551","286",
"1500000US060371021042","Block Group 2, Census Tract 1021.04, Los Angeles County, California","776","311","434","187","342","303",
"1500000US060371021051","Block Group 1, Census Tract 1021.05, Los Angeles County, California","748","199","504","207","244","146",
"1500000US060371021052","Block Group 2, Census Tract 1021.05, Los Angeles County, California","926","295","506","283","420","202",
"1500000US060371021071","Block Group 1, Census Tract 1021.07, Los Angeles County, California","2387","465","1787","390","600","362",
"1500000US060371021072","Block Group 2, Census Tract 1021.07, Los Angeles County, California","1303","649","1062","637","241","198",
"1500000US060371031011","Block Group 1, Census Tract 1031.01, Los Angeles County, California","1371","201","1253","188","118","86",
"1500000US060371031012","Block Group 2, Census Tract 1031.01, Los Angeles County, California","1097","342","1029","347","68","48",
"1500000US060371031021","Block Group 1, Census Tract 1031.02, Los Angeles County, California","892","351","648","275","244","245",
"1500000US060371031022","Block Group 2, Census Tract 1031.02, Los Angeles County, California","609","215","416","172","193","176",
"1500000US060371031023","Block Group 3, Census Tract 1031.02, Los Angeles County, California","1374","468","1153","454","221","183",
"1500000US060371031024","Block Group 4, Census Tract 1031.02, Los Angeles County, California","935","299","737","273","198","116",
"1500000US060371031025","Block Group 5, Census Tract 1031.02, Los Angeles County, California","882","262","710","225","172","187",
"1500000US060371032011","Block Group 1, Census Tract 1032.01, Los Angeles County, California","1726","432","767","432","959","354",
"1500000US060371032012","Block Group 2, Census Tract 1032.01, Los Angeles County, California","2201","567","1165","374","1036","592",
"1500000US060371032021","Block Group 1, Census Tract 1032.02, Los Angeles County, California","2075","668","2036","677","39","58",
"1500000US060371033001","Block Group 1, Census Tract 1033, Los Angeles County, California","1704","384","1644","385","60","74",
"1500000US060371033002","Block Group 2, Census Tract 1033, Los Angeles County, California","2125","504","2071","511","54","59",
"1500000US060371034011","Block Group 1, Census Tract 1034.01, Los Angeles County, California","2632","424","2355","383","277","246",
"1500000US060371034021","Block Group 1, Census Tract 1034.02, Los Angeles County, California","1107","465","978","455","129","155",
"1500000US060371034022","Block Group 2, Census Tract 1034.02, Los Angeles County, California","490","270","463","275","27","44",
"1500000US060371034023","Block Group 3, Census Tract 1034.02, Los Angeles County, California","852","389","795","403","57","97",
"1500000US060371034024","Block Group 4, Census Tract 1034.02, Los Angeles County, California","1392","547","510","268","882","556",
"1500000US060371041031","Block Group 1, Census Tract 1041.03, Los Angeles County, California","1889","502","1424","531","465","328",
"1500000US060371041032","Block Group 2, Census Tract 1041.03, Los Angeles County, California","2204","900","1889","895","315","225",
"1500000US060371041051","Block Group 1, Census Tract 1041.05, Los Angeles County, California","1488","463","1019","360","469","336",
"1500000US060371041052","Block Group 2, Census Tract 1041.05, Los Angeles County, California","2950","592","558","197","2392","599",
"1500000US060371041053","Block Group 3, Census Tract 1041.05, Los Angeles County, California","1341","517","1168","491","173","156",
"1500000US060371041081","Block Group 1, Census Tract 1041.08, Los Angeles County, California","2035","645","1187","508","848","459",
"1500000US060371041082","Block Group 2, Census Tract 1041.08, Los Angeles County, California","1914","527","873","422","1041","375",
"1500000US060371041083","Block Group 3, Census Tract 1041.08, Los Angeles County, California","1189","425","810","393","379","374",
"1500000US060371041241","Block Group 1, Census Tract 1041.24, Los Angeles County, California","1473","379","1070","348","403","294",
"1500000US060371041242","Block Group 2, Census Tract 1041.24, Los Angeles County, California","1708","394","1391","435","317","218",
"1500000US060371041243","Block Group 3, Census Tract 1041.24, Los Angeles County, California","446","171","368","155","78","84",
"1500000US060371042011","Block Group 1, Census Tract 1042.01, Los Angeles County, California","1422","517","1010","377","412","383",
"1500000US060371042012","Block Group 2, Census Tract 1042.01, Los Angeles County, California","2048","625","1892","611","156","114",
"1500000US060371042013","Block Group 3, Census Tract 1042.01, Los Angeles County, California","1129","356","901","296","228","177",
"1500000US060371042031","Block Group 1, Census Tract 1042.03, Los Angeles County, California","2829","823","1564","708","1265","512",
"1500000US060371042032","Block Group 2, Census Tract 1042.03, Los Angeles County, California","2349","534","1724","429","625","395",
"1500000US060371042041","Block Group 1, Census Tract 1042.04, Los Angeles County, California","1313","396","599","224","714","387",
"1500000US060371042042","Block Group 2, Census Tract 1042.04, Los Angeles County, California","2097","457","1809","455","288","162",
"1500000US060371043101","Block Group 1, Census Tract 1043.10, Los Angeles County, California","2074","601","1371","446","703","445",
"1500000US060371043102","Block Group 2, Census Tract 1043.10, Los Angeles County, California","1355","465","1025","347","330","363",
"1500000US060371043103","Block Group 3, Census Tract 1043.10, Los Angeles County, California","1446","511","1281","509","165","139",
"1500000US060371043211","Block Group 1, Census Tract 1043.21, Los Angeles County, California","696","443","552","435","144","110",
"1500000US060371043212","Block Group 2, Census Tract 1043.21, Los Angeles County, California","1708","516","645","470","1063","389",
"1500000US060371043213","Block Group 3, Census Tract 1043.21, Los Angeles County, California","711","420","387","366","324","319",
"1500000US060371043221","Block Group 1, Census Tract 1043.22, Los Angeles County, California","1240","352","786","361","454","230",
"1500000US060371043222","Block Group 2, Census Tract 1043.22, Los Angeles County, California","635","348","617","341","18","30",
"1500000US060371044011","Block Group 1, Census Tract 1044.01, Los Angeles County, California","1501","439","792","231","709","376",
"1500000US060371044012","Block Group 2, Census Tract 1044.01, Los Angeles County, California","1565","316","1034","350","531","194",
"1500000US060371044031","Block Group 1, Census Tract 1044.03, Los Angeles County, California","1676","311","1272","359","404","251",
"1500000US060371044032","Block Group 2, Census Tract 1044.03, Los Angeles County, California","1048","301","613","260","435","262",
"1500000US060371044041","Block Group 1, Census Tract 1044.04, Los Angeles County, California","1759","472","1060","320","699","399",
"1500000US060371044042","Block Group 2, Census Tract 1044.04, Los Angeles County, California","1654","397","633","346","1021","256",
"1500000US060371045001","Block Group 1, Census Tract 1045, Los Angeles County, California","1644","767","918","399","726","701",
"1500000US060371045002","Block Group 2, Census Tract 1045, Los Angeles County, California","1472","322","1352","345","120","123",
"1500000US060371046101","Block Group 1, Census Tract 1046.10, Los Angeles County, California","1580","462","951","280","629","331",
"1500000US060371046102","Block Group 2, Census Tract 1046.10, Los Angeles County, California","1692","514","1322","471","370","228",
"1500000US060371046201","Block Group 1, Census Tract 1046.20, Los Angeles County, California","1448","352","1024","304","424","231",
"1500000US060371046202","Block Group 2, Census Tract 1046.20, Los Angeles County, California","2031","479","1487","386","544","293",
"1500000US060371047011","Block Group 1, Census Tract 1047.01, Los Angeles County, California","961","283","516","202","445","234",
"1500000US060371047012","Block Group 2, Census Tract 1047.01, Los Angeles County, California","1798","349","0","13","1798","349",
"1500000US060371047013","Block Group 3, Census Tract 1047.01, Los Angeles County, California","1047","305","549","247","498","197",
"1500000US060371047031","Block Group 1, Census Tract 1047.03, Los Angeles County, California","1137","366","123","102","1014","385",
"1500000US060371047032","Block Group 2, Census Tract 1047.03, Los Angeles County, California","1230","490","895","461","335","220",
"1500000US060371047041","Block Group 1, Census Tract 1047.04, Los Angeles County, California","1640","580","1334","582","306","203",
"1500000US060371047042","Block Group 2, Census Tract 1047.04, Los Angeles County, California","1490","644","728","564","762","293",
"1500000US060371047043","Block Group 3, Census Tract 1047.04, Los Angeles County, California","1357","433","1104","426","253","234",
"1500000US060371048211","Block Group 1, Census Tract 1048.21, Los Angeles County, California","2512","414","1120","283","1392","399",
"1500000US060371048212","Block Group 2, Census Tract 1048.21, Los Angeles County, California","1002","461","689","465","313","151",
"1500000US060371048221","Block Group 1, Census Tract 1048.22, Los Angeles County, California","2668","343","1051","268","1617","300",
"1500000US060371048231","Block Group 1, Census Tract 1048.23, Los Angeles County, California","1683","504","1155","404","528","348",
"1500000US060371048232","Block Group 2, Census Tract 1048.23, Los Angeles County, California","1663","767","1390","694","273","302",
"1500000US060371048241","Block Group 1, Census Tract 1048.24, Los Angeles County, California","767","406","641","429","126","145",
