County,Year,Quarter,Medication_Assisted_Treatment,beneficiaries,status,annotation,annotation_description,Date_of_Data
Alameda,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Alameda,2010,Q2,Buprenorphine,13,F,,,5/4/2023
Alameda,2010,Q3,Buprenorphine,18,F,,,5/4/2023
Alameda,2010,Q4,Buprenorphine,17,F,,,5/4/2023
Alameda,2011,Q1,Buprenorphine,18,F,,,5/4/2023
Alameda,2011,Q2,Buprenorphine,15,F,,,5/4/2023
Alameda,2011,Q3,Buprenorphine,17,F,,,5/4/2023
Alameda,2011,Q4,Buprenorphine,15,F,,,5/4/2023
Alameda,2012,Q1,Buprenorphine,19,F,,,5/4/2023
Alameda,2012,Q2,Buprenorphine,27,F,,,5/4/2023
Alameda,2012,Q3,Buprenorphine,31,F,,,5/4/2023
Alameda,2012,Q4,Buprenorphine,37,F,,,5/4/2023
Alameda,2013,Q1,Buprenorphine,43,F,,,5/4/2023
Alameda,2013,Q2,Buprenorphine,35,F,,,5/4/2023
Alameda,2013,Q3,Buprenorphine,30,F,,,5/4/2023
Alameda,2013,Q4,Buprenorphine,36,F,,,5/4/2023
Alameda,2014,Q1,Buprenorphine,64,F,,,5/4/2023
Alameda,2014,Q2,Buprenorphine,65,F,,,5/4/2023
Alameda,2014,Q3,Buprenorphine,81,F,,,5/4/2023
Alameda,2014,Q4,Buprenorphine,83,F,,,5/4/2023
Alameda,2015,Q1,Buprenorphine,88,F,,,5/4/2023
Alameda,2015,Q2,Buprenorphine,100,F,,,5/4/2023
Alameda,2015,Q3,Buprenorphine,117,F,,,5/4/2023
Alameda,2015,Q4,Buprenorphine,127,F,,,5/4/2023
Alameda,2016,Q1,Buprenorphine,133,F,,,5/4/2023
Alameda,2016,Q2,Buprenorphine,158,F,,,5/4/2023
Alameda,2016,Q3,Buprenorphine,166,F,,,5/4/2023
Alameda,2016,Q4,Buprenorphine,179,F,,,5/4/2023
Alameda,2017,Q1,Buprenorphine,228,F,,,5/4/2023
Alameda,2017,Q2,Buprenorphine,264,F,,,5/4/2023
Alameda,2017,Q3,Buprenorphine,280,F,,,5/4/2023
Alameda,2017,Q4,Buprenorphine,305,F,,,5/4/2023
Alameda,2018,Q1,Buprenorphine,362,F,,,5/4/2023
Alameda,2018,Q2,Buprenorphine,410,F,,,5/4/2023
Alameda,2018,Q3,Buprenorphine,467,F,,,5/4/2023
