FIPS,renter_occupied
060371011101,646
060371011102,710
060371011103,175
060371011221,746
060371011222,367
060371012201,581
060371012202,1316
060371012211,602
060371012212,2403
060371012221,2302
060371013001,196
060371013002,222
060371013003,32
060371013004,290
060371014001,288
060371014002,159
060371014003,204
060371021031,696
060371021041,551
060371021042,342
060371021051,244
060371021052,420
060371021071,600
060371021072,241
060371031011,118
060371031012,68
060371031021,244
060371031022,193
060371031023,221
060371031024,198
060371031025,172
060371032011,959
060371032012,1036
060371032021,39
060371033001,60
060371033002,54
060371034011,277
060371034021,129
060371034022,27
060371034023,57
060371034024,882
060371041031,465
060371041032,315
060371041051,469
060371041052,2392
060371041053,173
060371041081,848
060371041082,1041
060371041083,379
060371041241,403
060371041242,317
060371041243,78
060371042011,412
060371042012,156
060371042013,228
060371042031,1265
060371042032,625
060371042041,714
060371042042,288
060371043101,703
060371043102,330
060371043103,165
060371043211,144
060371043212,1063
060371043213,324
060371043221,454
060371043222,18
060371044011,709
060371044012,531
060371044031,404
060371044032,435
060371044041,699
060371044042,1021
060371045001,726
060371045002,120
060371046101,629
060371046102,370
060371046201,424
060371046202,544
060371047011,445
060371047012,1798
060371047013,498
060371047031,1014
060371047032,335
060371047041,306
060371047042,762
060371047043,253
060371048211,1392
060371048212,313
060371048221,1617
060371048231,528
060371048232,273
060371048241,126
060371048242,250
060371060101,664
060371060102,115
060371060201,420
060371060202,136
060371060203,439
060371061111,52
060371061112,279
060371061121,327
060371061122,84
060371061123,242
060371061131,479
060371061132,131
060371061141,957
060371061142,1974
060371061143,459
060371064031,95
060371064032,183
060371064033,640
060371064051,340
060371064052,933
060371064053,528
060371064061,777
060371064062,181
060371064063,413
060371064071,982
060371064072,919
060371064081,2376
060371064082,811
060371065101,374
060371065102,807
060371065103,500
060371065201,672
060371065202,626
060371065203,713
060371066031,197
060371066032,218
060371066041,1037
060371066042,341
060371066043,430
060371066411,215
060371066421,64
060371066422,187
060371066423,71
060371066431,119
060371066432,132
060371066433,130
060371066451,84
060371066452,212
060371066461,263
060371066462,23
060371066481,1241
060371066482,1103
060371066491,147
060371066492,308
060371070101,507
060371070102,246
060371070201,541
060371070202,149
060371070203,848
060371070204,118
060371081011,337
060371081021,275
060371081022,51
060371081023,60
060371081031,163
060371081032,169
060371081041,253
060371082021,1222
060371082022,79
060371082023,910
060371082031,855
060371082032,205
060371082041,97
060371091001,132
060371091002,361
060371092001,8
060371092002,211
060371092003,182
060371093001,135
060371093002,136
060371093003,78
060371094001,136
060371094002,922
060371094003,275
060371095001,318
060371095002,739
060371095003,439
060371096011,0
060371096012,0
060371096013,57
060371096014,509
060371096031,153
060371096032,439
060371096033,875
060371096041,233
060371096042,91
060371096043,119
060371097001,396
060371097002,709
060371097003,48
060371098001,306
060371098002,153
060371098003,358
060371098004,473
060371111001,380
060371111002,748
060371112011,165
060371112012,140
060371112013,23
060371112021,921
060371112022,487
060371112023,889
060371112041,79
060371112042,547
060371112043,122
060371112051,254
060371112052,515
060371112053,1294
060371112061,136
060371112062,64
060371112063,0
060371112064,52
060371112065,13
060371113021,300
060371113022,613
060371113023,293
060371113024,1322
060371113031,1502
060371113032,611
060371113041,1195
060371113042,1648
060371114011,640
060371114021,2624
060371114022,734
060371114023,1578
060371131011,93
060371131012,364
060371131021,66
060371131022,116
060371132111,309
060371132112,759
060371132121,156
060371132122,1456
060371132131,584
060371132132,929
060371132311,103
060371132312,234
060371132321,822
060371132322,295
060371132341,534
060371132342,150
060371132343,2258
060371132344,779
060371132351,600
060371132371,924
060371132372,505
060371132381,1106
060371132382,1748
060371132383,157
060371132391,542
060371132392,1393
060371133011,0
060371133012,1959
060371133031,384
060371133032,302
060371133221,37
060371133222,1126
060371133231,1515
060371133232,1344
